question,answer,product,audience,jurisdiction,tags
"To what extent do you use hedging strategies for this product, including currency and/or any leverage?", "We do not use hedging strategies or any leverage for the Core Plus strategy.", Core Plus, Pension, US, "fixed income,leverage,hedging"
"Please briefly describe your firm’s investment philosophy.", "We believe an active manager must generate performance (return relative to risk) that consistently outperforms the relevant benchmark index and provides portfolio returns competitive to those available in the marketplace. To succeed, the investment strategy should exploit reliable sources of excess return and avoid unintended risks. To achieve this objective, we believe: • Fundamentals drive long-term investment returns;• Credit risk is well compensated, measurable and diversifiable; • Disciplined credit research by experienced analysts across industries, rating categories and national boundaries enables us to find good investment opportunities that help generate consistent and reliable excess return; • Changes in interest rates and other macro risks are sources of undiversifiable risk and, therefore, should not contribute an important part of excess returns.", Core Plus, Pension, US, "philosophy,performance,objective,fundamentals"
"Please briefly describe your firm’s investment philosophy.", "Based on these beliefs, we seek to build portfolios with a yield advantage over their respective benchmarks by investing in companies with the following characteristics: • Strong management teams • Free cash flow • Competitive advantages • Compelling value proposition.", Core Plus, Pension, US, "philosophy,characteristics,objective,fundamentals"
"How has your investment philosophy changed since the inception of this product?", "Though the core of our investment process has stayed the same since our inception, we constantly strive to improve it. Over the years, we have added different modules to our proprietary portfolio management system, FIPS, to improve our security selection and risk management capabilities. For example, in 2023, during the banking crisis, we added a Hybrid and Bank Preferred security attribution capability to FIPS.", Core Plus, Pension, US, "improvement,change,evolution"
"How does your investment process add value?", "We add value through bottom-up security selection with credit as the primary source of excess return and yield. This bottom-up search for value across global credit markets distinguishes our approach. We seek to limit macro risks and focus on diversifiable risks. The result has been portfolios that, over time, have outperformed their benchmark.", Core Plus, Pension, US, "value,benchmark,excess return"
"Please discuss your firm’s investment strategy, screening process, research process, and portfolio construction methodology. Be specific about your research process, including the use of fundamental, technical, and quantitative analysis. Please provide any comments that are unique to your firm.", "At GIA, we combine the research and portfolio management functions into one. Our analyst/managers cover specific industries, sectors and regions. They are not only responsible for identifying and analyzing investment opportunities rated from AAA-CCC globally; they are also accountable for the ongoing monitoring of the security they recommend once it goes into the portfolio.", Core Plus,Pension,US, "philosophy,research,portfolio construction"
"Please discuss your firm’s investment strategy, screening process, research process, and portfolio construction methodology. Be specific about your research process, including the use of fundamental, technical, and quantitative analysis. Please provide any comments that are unique to your firm.", "New ideas frequently come from new issues, industry conferences, company visits, or discussions with external analysts. The analyst/manager looks not only at the credit quality of the security but at the value relative to other securities available in the market and held in the portfolio.",Core Plus, Pension, US, "philosophy,research,fundamentals,portfolio construction"
"Please discuss your firm’s investment strategy, screening process, research process, and portfolio construction methodology. Be specific about your research process, including the use of fundamental, technical, and quantitative analysis. Please provide any comments that are unique to your firm.", "GIA’s credit analysis is in-house fundamental research supplemented by external sources of information to assess the likely direction of creditworthiness at a company. Our credit research process has two objectives: 1. Assessing creditworthiness, which we define as a company’s ability to honor its obligations under various scenarios, and; 2. Identifying value, which relates to the compensation and diversification benefits we receive as investors for taking the risk associated with our assessed creditworthiness.", Core Plus, Pension, US, "credit analysis,fundamentals,philosophy,research,portfolio construction"
"Please discuss your firm’s investment strategy, screening process, research process, and portfolio construction methodology. Be specific about your research process, including the use of fundamental, technical, and quantitative analysis. Please provide any comments that are unique to your firm.", "To assess creditworthiness, the analyst/managers attend company presentations, make site visits, talk to street analysts, analyze new issues, read industry publications, attend conferences and talk to contacts developed through years of experience. For each company, the analyst/manager makes an assessment of management, strategy, ESG factors and financials.", Core Plus, Pension, US, "credit analysis,fundamentals,research"
"Please discuss your firm’s investment strategy, screening process, research process, and portfolio construction methodology. Be specific about your research process, including the use of fundamental, technical, and quantitative analysis. Please provide any comments that are unique to your firm.", "Assessing management is critical. The analyst/manager looks at management experience, depth and past performance as well as the ownership structure of the company. We will not invest with a company where we do not have confidence in the management team or the lead investor", Core Plus, Pension, US, "credit analysis,fundamentals,research"
"Please discuss your firm’s investment strategy, screening process, research process, and portfolio construction methodology. Be specific about your research process, including the use of fundamental, technical, and quantitative analysis. Please provide any comments that are unique to your firm.", "Regarding strategy we determine whether the credit story makes sense. We assess whether the company is well positioned to compete; if they can accomplish their stated goals given their product markets and financial flexibility; if they have enough financial flexibility to withstand cyclical downturns; and if they are subject to market or governmental influences beyond their control.", Core Plus, Pension, US, "credit analysis,fundamentals,research"
"Please discuss your firm’s investment strategy, screening process, research process, and portfolio construction methodology. Be specific about your research process, including the use of fundamental, technical, and quantitative analysis. Please provide any comments that are unique to your firm.", "To analyze financial information, we conduct traditional credit analysis and observe many of the rating agency criteria. We review the company’s financial statements looking for trends in revenues, cash flow, capital expenditures, leverage, interest coverage, etc. Free cash flow is one of the most important pieces of data we follow. We also review covenants and the company’s capital structure", Core Plus, Pension, US, "credit analysis,fundamentals,research"
"Please discuss your firm’s investment strategy, screening process, research process, and portfolio construction methodology. Be specific about your research process, including the use of fundamental, technical, and quantitative analysis. Please provide any comments that are unique to your firm.", "We use bottom-up analysis of the global credit markets to build portfolios with the goal of generating higher yields than their benchmarks. We look at the global universe of credit issuers, which we identify as income producing securities and includes approximately 3000 issuers. We initially screen the universe based on liquidity (we will not invest in an issue that is less than $100 million, and we will not hold more than 10% of an issue nor will it represent more than 3% of the portfolio), yield and spread creating an opportunity set of 700-800 credits on which to apply fundamental credit analysis.", Core Plus, Pension, US, "philosophy,fundamentals,portfolio construction"
"Please discuss your firm’s investment strategy, screening process, research process, and portfolio construction methodology. Be specific about your research process, including the use of fundamental, technical, and quantitative analysis. Please provide any comments that are unique to your firm.", "The result is a pool of approximately 500 names from which we build portfolios customized to our clients’ mandates (core, core plus, multi-sector credit, global investment grade, high yield and EMD) and guidelines.", Core Plus, Pension, US, "philosophy,fundamentals,portfolio construction"
"Please discuss your firm’s investment strategy, screening process, research process, and portfolio construction methodology. Be specific about your research process, including the use of fundamental, technical, and quantitative analysis. Please provide any comments that are unique to your firm.", "We consider the Core Plus universe to be income producing securities globally, that includes investment grade and high yield bonds, agency mortgages, treasuries, and emerging markets corporate debt. We build the credit portion of the portfolio first (100-200 corporate issues depending on the size of the mandate). Based on the characteristics of the credit portion and client guidelines, the treasury and mortgage exposures are added to neutralize unintended risks, particularly duration.", Core Plus, Pension, US, "philosophy,fundamentals,portfolio construction"
"Please discuss your firm’s investment strategy, screening process, research process, and portfolio construction methodology. Be specific about your research process, including the use of fundamental, technical, and quantitative analysis. Please provide any comments that are unique to your firm.", "We consider duration to be a macro-related risk that is difficult for managers to get right consistently. Therefore, we do not seek excess return from duration positioning. Instead, we manage our portfolios largely duration neutral. Aggregate exposures to industries, countries, regions, and credit quality are managed from the top down by monitoring those factors as the portfolio is built.", Core Plus, Pension, US, "philosophy,fundamentals,portfolio construction"
"Please discuss your firm’s investment strategy, screening process, research process, and portfolio construction methodology. Be specific about your research process, including the use of fundamental, technical, and quantitative analysis. Please provide any comments that are unique to your firm.", "Position sizes of our credit holdings are determined by our expectation for a bond’s performance based on creditworthiness and value. Our analyst/managers propose position sizes based on their assessment of the credit and the expected contribution of each (both risk and return) to the portfolios. In a model portfolio, position size would be 1% of our credit holdings; typically, positions will range from 0.5% to 1.5%.", Core Plus, Pension, US, "philosophy,fundamentals,portfolio construction"
"Please discuss your firm’s investment strategy, screening process, research process, and portfolio construction methodology. Be specific about your research process, including the use of fundamental, technical, and quantitative analysis. Please provide any comments that are unique to your firm.", "Once the credit portion of the portfolios is built, our Chief Investment Officer will adjust the portfolio’s positioning to neutralize or eliminate unintended risks such as interest rates or yield curve. Other exposures such as industries, countries, and sectors are monitored to ensure no unintended concentration develops.", Core Plus, Pension, US, "philosophy,fundamentals,portfolio construction"
"Please discuss your firm’s investment strategy, screening process, research process, and portfolio construction methodology. Be specific about your research process, including the use of fundamental, technical, and quantitative analysis. Please provide any comments that are unique to your firm.", "While our investment process is primarily based on bottom-up credit analysis, we incorporate our macro-economic views into the analysis. On a quarterly basis, we have an in-depth review of macro conditions and evaluate macro-economic forecasts. The most important macro factors we look at are production, income, unemployment, and inflation.", Core Plus, Pension, US, "philosophy,fundamentals,portfolio construction"
"Please discuss your firm’s investment strategy, screening process, research process, and portfolio construction methodology. Be specific about your research process, including the use of fundamental, technical, and quantitative analysis. Please provide any comments that are unique to your firm.", "Macro data gives our analyst/managers a collective view on the economy for the next 3-6 months to provide a context for their bottom-up analysis. Our macro conclusions do not influence our duration, country, or sector weights, but they will help us form conclusions about the credit prospects of our investments.", Core Plus, Pension, US, "philosophy,fundamentals,portfolio construction"
"Please discuss your firm’s investment strategy, screening process, research process, and portfolio construction methodology. Be specific about your research process, including the use of fundamental, technical, and quantitative analysis. Please provide any comments that are unique to your firm.", "Eduardo Cortes as CIO is primarily responsible for portfolio construction.", Core Plus, Pension, US, "philosophy,fundamentals,portfolio construction"
"How do you decide to buy or sell a security?", "To include a security in a portfolio, it must contribute value relative to its level of risk and be consistent with the portfolio’s objectives and guidelines. Our decision-making process has three steps: security identification, analysis, and risk assessment. Each analyst/manager rates securities in his industry according to creditworthiness and value.", Core Plus, Pension, US, "decision,buy,sell,value"
"How do you decide to buy or sell a security?", "Securities are then placed on a grid that allows them to assess the securities across industries, sectors and countries. On a weekly basis, every security is re-evaluated, and every security must fight for its position in the portfolio", Core Plus, Pension, US, "asses,buy,sell,grid"
"How do you decide to buy or sell a security?", "Our internal security rating discipline helps us categorize our credits by creditworthiness and value which helps us compare investments across sectors, industries and countries. As part of this discipline, we categorize each security either investment grade or high yield according to its volatility and price. For example, we may categorize an investment grade security as “High Yield” based on price and volatility. We believe our analysts/managers’ ability to understand and access opportunities across the rating spectrum, industries, and countries give us an advantage over other managers.", Core Plus, Pension, US, "improvement,change,evolution"
"How do you decide to buy or sell a security?", "Every new investment is brought to the team (consisting at all times of at least one other manager, generally the Chief Investment Officer) for consideration. The investment team reviews the proposed investment and its contribution to the portfolio, before authorizing its purchase. Under no circumstance can an analyst/manager add an investment without the agreement of at least one other analyst/manager.", Core Plus, Pension, US, "decision,buy,sell,agreement,authorization"
"How do you decide to buy or sell a security?", "Our objective is to purchase and hold securities of improving creditworthiness and attractive relative value, and to sell those of deteriorating creditworthiness and poor relative value. A security becomes a sell candidate if it no longer provides an appropriate return for the credit risk or we identify a replacement security that provides a better return/risk profile. We have a 10% rule that requires us to immediately review a credit if the price of the security rises or falls by 10% or more. No analyst/manager can make a buy/sell decision on their own, they must consult with at least one other member of the team. If there is disagreement, ultimate decision-making authority rests with the Chief Investment Officer",Core Plus, Pension, US, "decision,authority,buy,sell,disagreement"
"Are portfolios managed by individual managers or teams?", "All portfolios are managed on a team basis.", Core Plus, Pension, US, "management,team,individual"
"How frequently are investment policy or strategy meetings held?", "On a quarterly basis, the investment committee meets to review and evaluate macro-economic factors and forecasts. At this meeting, the team will establish a 3 - 6 months investment outlook which guides the analyst/managers as they evaluate their securities. Formal investment meetings occur on a weekly basis and may occur more frequently if necessary. Each analyst/manager is an industry specialist and is expected to identify investments and is accountable for their decisions.", Core Plus, Pension, US, "strategy,meeting,evaluation,forecast,accountability"
"Are portfolios managed by individual managers or teams?", "All portfolios are managed on a team basis.", Core Plus, Pension, US, "portfolio management"
"How frequently are investment policy or strategy meetings held?", "On a quarterly basis, the investment committee meets to review and evaluate macro-economic factors and forecasts. At this meeting, the team will establish a 3 - 6 months investment outlook which guides the analyst/managers as they evaluate their securities.", Core Plus, Pension, US, "strategy,portfolio management"
"Specify the portfolio guidelines, such as the maximum issuer, issue, sector, currency, duration, etc. weights. Describe any quantitative techniques or optimization tools used to construct portfolios.", "A key philosophical and process related principle is “do not take unintended risks.” This policy, in effect, places limits on exposures that by their size or composition add risks we do not want to take. As an example, if companies in an industry become attractive on a risk/return basis, we may want to purchase some of their bonds, but not in aggregate amounts that make the portfolio overly sensitive to the industry.", Core Plus, Pension, US, "guidelines,strategy,portfolio management"
"Specify the portfolio guidelines, such as the maximum issuer, issue, sector, currency, duration, etc. weights. Describe any quantitative techniques or optimization tools used to construct portfolios.", "Our investment engine is not quantitatively-driven; however, we do use quantitative tools such as Bloomberg, CreditSights, and our proprietary FIPS attribution system to: • Provide a filter for identifying potentially attractive investments • Pull company financial data for use in our credit analysis • Provide analytical information on portfolio exposures • Measure portfolio concentrations • Compute performance and attribution", Core Plus, Pension, US, "guidelines,strategy,portfolio management"
"Please describe the portfolio manager’s ability to invest in any out-of-benchmark securities", "GIA’s investment team has invested in out-of-benchmark securities since the inception of the firm. Our global perspective gives us the ability to find value in markets outside the benchmark such as securities in emerging markets, high yield, and hybrid securities. Our experience investing in a range of out-of-benchmark credit securities distinguishes us among our peers.", Core Plus, Pension, US, "manager,non-benchmark,out-of-benchmark"
"Please describe the portfolio manager’s ability to invest in any out-of-benchmark securities", "Our emerging markets holdings are typically US dollar denominated bonds. In addition to analyzing emerging market corporate bonds from the bottom up, we look at the sovereign risk from the top down to help us determine if we are being appropriately compensated for the risk attributed to the country. All analyst/managers have extensive experience investing in non-benchmark securities.We have also worked with clients to adapt our investments in out-of-benchmark securities to reflect their risk tolerance or legislative requirements.", Core Plus, Pension, US, "manager,non-benchmark,risk,emerging markets"
"Please describe how your firm measures portfolio risk. How is it monitored and controlled? State whether it is on an absolute or relative basis.", "Our risk control focuses on the credit dimension in the portfolio seeking to measure what value we are getting relative to the risk. This analysis covers ratings migration, default risk, and call option risk. Interest rate and yield curve risks are neutralized and sector exposures result from the value in the credit sectors. Other risks, like liquidity and event risk are managed by ensuring the portfolio is properly compensated for assuming those risks.", Core Plus, Pension, US, "risk,portfolio management"
"Please describe how your firm measures portfolio risk. How is it monitored and controlled? State whether it is on an absolute or relative basis.", "Our portfolio exposures such as duration, credit quality, and credit ratings. are monitored daily through our proprietary Fixed Income Portfolio System (FIPS), and Bloomberg. Within FIPS, we have a framework to analyze portfolios by sectors, industries, and countries. FIPS draws portfolio analytics from Bloomberg. Aggregated market factor risks are easily viewed daily and shown relative to the client’s benchmark. Exposure to these aggregated factors relative to the benchmark is always considered in context of current tactical strategy and client risk tolerance.", Core Plus, Pension, US, "risk,portfolio management"
"Please describe how your firm measures portfolio risk. How is it monitored and controlled? State whether it is on an absolute or relative basis.", "Complementing this ex-ante view is a daily ex-post result of portfolio performance presented with attribution to the same factors we considered from a risk standpoint. The feedback loop is very important in evaluating tactical market views and risk evaluation.", Core Plus, Pension, US, "risk,portfolio management"
"Please describe how your firm measures portfolio risk. How is it monitored and controlled? State whether it is on an absolute or relative basis.", "In respect to individual or specific risk, drill down capability allows the portfolio managers and the CIO to quickly review the fundamentals or the market behavior (technicals) of a specific security. The system then allows for the translation of a specific risk to total portfolio impact. We have a scenario analysis model that enables us to test each portfolio against changes in spreads, interest rates and yield curve. The whole system is interactive and exists on each analyst/manager’s desktop allowing easy exploration of any risk exposure question.", Core Plus, Pension, US, "risk,portfolio management"
"Please describe how your firm measures portfolio risk. How is it monitored and controlled? State whether it is on an absolute or relative basis.", "Eduardo Cortes, our Chief Investment Officer, and Albert Tseng, Deputy Chief Investment Officer are responsible for risk management and monitoring.", Core Plus, Pension, US, "risk,portfolio management"
"How does your firm currently measure/track risk for this product (e.g., standard deviation, duration times spread, contribution to duration, other?)", "We seek a balance between minimizing risk, measured by standard deviation, and maximizing total return. We think of performance metrics in a broad asset allocation context. In fixed income, high yield and many emerging markets securities at times display higher correlation with equities than high quality bonds. This characteristic adds diversification and yield to Core fixed income portfolios, and sometimes contributes additional volatility. Over time, we believe the return contribution exceeds the risk contribution making the combination valuable to investors", Core Plus, Pension, US, "risk,portfolio management"
"How does your firm currently measure/track risk for this product (e.g., standard deviation, duration times spread, contribution to duration, other?)", "We consider yield curve, duration, and top-down sector allocation to involve macro-related risks, which are hard to get consistently right and for which we believe the risk/benefit relationship is unfavorable to clients. Therefore, we manage portfolios largely duration neutral within +/- 0.5 year to the benchmark.", Core Plus, Pension, US, "risk,portfolio management"
"How does your firm currently measure/track risk for this product (e.g., standard deviation, duration times spread, contribution to duration, other?)", "Credit quality, country allocation and industry and sector exposure result from our bottom-up portfolio construction. Portfolio exposures such as duration, credit quality, credit ratings, etc. are monitored daily relative to the benchmark.", Core Plus, Pension, US, "risk,portfolio management"
"Do you stress test your portfolios? If so, how do you stress test your portfolios?", "Our proprietary Fixed Income Portfolio System (FIPS) allows us to measure the impact on each portfolio given changes in interest rates, yield curve, ratings, and sectors. Stress tests are conducted by assuming sizable changes to some or all of the variables affecting the portfolio. During an event such as March 2020, poor liquidity was reflected in higher spreads, wider bid-offer quotes, reduced liquidity, and significant volatility. Since it is difficult to precisely measure liquidity constraints on every security, we stress the portfolios by sector and ratings with the smaller, lower quality sectors penalized more harshly.", Core Plus, Pension, US, "risk,portfolio management,stress"
"Describe under what market conditions you expect your product to do well and to do poorly. Describe what, if any, exposure you have to momentum", "Our bottom-up, credit driven, relative value process tends to outperform during periods when credit risk/reward analysis is at a premium. This tends to occur during periods of economic growth, recovery, and stability. Since our investment process looks for value globally across the credit spectrum (AAA – CCC) and across sectors (investment grade, high yield and emerging markets), we adjust the securities in our portfolios as value and market conditions change.", Core Plus, Pension, US, "portfolio management,performance"
"Describe under what market conditions you expect your product to do well and to do poorly. Describe what, if any, exposure you have to momentum", "Our strategy will tend to underperform when markets are consumed with a fear-based flight to quality; and/or non-credit related events in the market lead to technical pricing anomalies and bouts of extreme illiquidity.", Core Plus, Pension, US, "portfolio management,performance"
"Describe under what market conditions you expect your product to do well and to do poorly. Describe what, if any, exposure you have to momentum", "We do not usually use momentum as an investment philosophy.", Core Plus, Pension, US, "portfolio management,performance"
"Please discuss if you have other public plan clients who require your firm to trade with MWDBE broker dealers. If so, please provide detail on the targets/level of trading such clients require. Are these targets or levels required to be met annually?", "Some of our public plan clients have established expectations for trading with MWDBE broker dealers. We report our results annually. Without disclosing these clients’ expectations, we can state that the targets in this RFP are higher.", Core Plus, Pension, US, "clients,requirements"
"Please discuss how your firm plans to meet (and achieve) the Fund’s MWDBE broker dealer fixed income target of 25% on an annual basis.", "We have established relationships with several MWDBE brokers, including: Loop Capital, Siebert Williams Shank, Ramirez & Co., Blaylock Beal Van, Cabrera Capital and Drexel Hamilton. We allocate to MWDBE brokers to the extent that our fiduciary duty will allow. Generally, we have been more successful trading investment grade bonds and treasuries with MWDBE brokers. Investment grade bonds and treasuries comprise approximately 60% of the strategy. We expect to meet the Fund’s target through trading investment grade, treasuries and, when opportunities arise, high yield bonds.", Core Plus, Pension, US, "clients,requirements,targets"
"Please discuss the reasons for the lost accounts indicated in the table above (please indicate plan terminations).", "In 2024, three of our corporate clients made strategic or tactical decisions that resulted in closing their accounts. One client implemented an LDI strategy and utilized its core/core plus allocations to fund the shift. A second client sought to reduce credit risk. The other was the result of a consultant change.", Core Plus, Pension, US, "aum,accounts"
"Please discuss the reasons for the lost accounts indicated in the table above (please indicate plan terminations).", "During 2020, Progress Investment Management closed its business. We lost four Core Plus accounts totaling approximately $320 million.", Core Plus, Pension, US, "aum,accounts"
"Please discuss the reasons for the lost accounts indicated in the table above (please indicate plan terminations).", "In 2018, one of our clients made a partial withdrawal of approximately $480 million in Core Plus assets as part of an asset allocation shift and to manage their percentage of the assets with the firm. They funded a $100 million High Yield account.", Core Plus, Pension, US, "aum,accounts"
"Please identify any and all Illinois-based public plan clients of your firm and the proposed product, including AUM.", "We manage two credit strategies for an Illinois public plan through an Emerging Manager of Manager platform. Currently we do not have any public plans in the proposed product.", Core Plus, Pension, US, "aum,accounts"
"Does your firm have a Chief Compliance Officer? If not, who is responsible for compliance and who does this person report to?", "GIA’s Chief Compliance Officer, Victoria Vallancourt, has the primary responsibility for the implementation and monitoring of the firm’s compliance policy, practices and recordkeeping for the firm. She is assisted by Anne B. Selkovits, ThunderCap, LLC, GIA’s external consultant, who provides oversight, compliance monitoring, and periodic employee training. Our CCO reports to the Board of Managers.", Core Plus, Pension, US, "compliance,team"
"Please describe the compliance assessment process, including the time period covered, testing methods, and frequency. When was the last compliance assessment?", "GIA has a comprehensive compliance oversight process that includes conducting an annual review of operations and risk assessment as well as weekly, monthly and quarterly oversight of specific areas. Examples of the latter include weekly email oversight, a monthly best execution review and a quarterly review of internal Microsoft Teams communication logs.", Core Plus, Pension, US, "compliance,team"
"Please describe the compliance assessment process, including the time period covered, testing methods, and frequency. When was the last compliance assessment?", "In addition, all employees read and attest to the firm's Policy and Procedures, and Code of Ethics, on an annual basis, as well as complete an annual Account Declaration form, a Declaration of Political Contributions and an Outside Business Interest form. The last assessment was conducted in March 2024.", Core Plus, Pension, US, "compliance,team"
"Please provide a short biography of the person(s) who is (are) responsible for the overall risk management of your firm and describe their individual functions", "Eduardo Cortes, our Chief Investment Officer, has oversight responsibility for the firm’s risk management function. He is supported in this function by Albert Tseng, Deputy Chief Investment Officer, who is responsible for portfolio risk analysis; Victoria Vallancourt, COO and CCO; who is responsible for regulatory compliance and maintaining all relevant books and records for the firm; and EJ Franklin, IT Manager, who is responsible for maintaining and implementing GIA's Business Continuity Plan.", Core Plus, Pension, US, "compliance,team,biography,risk"
"Please provide a short biography of the person(s) who is (are) responsible for the overall risk management of your firm and describe their individual functions", "Mr. Cortes has day-to-day responsibility for portfolio construction, asset allocation, security selection and risk management. Prior to the establishment of GIA, Mr. Cortes was the Chief Investment Officer of Global Investment Advisors, a division of Reich & Tang Asset Management, LLC, for over ten years. From 1985 to 1998, Mr. Cortes worked at JPM and JPMIM where he was a portfolio manager in the fixed income group at JPMIM where he was responsible for dollar and non-dollar fixed income portfolios.", Core Plus, Pension, US, "compliance,team,biography,risk"
"Please provide a short biography of the person(s) who is (are) responsible for the overall risk management of your firm and describe their individual functions", "Mr. Tseng’s responsibilities include portfolio risk and credit analysis, generating investment ideas, and portfolio analysis. Prior to joining Global Investment Advisors in December 2005, Mr. Tseng worked at GlobeVest LLC, a start-up fund of funds focusing on emerging market private equity investments. He was responsible for identifying potential countries and sectors that would yield attractive returns.", Core Plus, Pension, US, "compliance,team,biography,risk"
"Please provide a short biography of the person(s) who is (are) responsible for the overall risk management of your firm and describe their individual functions", "Ms. Vallancourt has the primary responsibility for the implementation and monitoring of the firm’s compliance policy, practices and recordkeeping for the firm. She is assisted by Anne Selkovits, ThunderCap, LLC, GIA’s external consultant who provides oversight, compliance monitoring, and periodic employee training.", Core Plus, Pension, US, "compliance,team,biography,risk"
"Please provide a short biography of the person(s) who is (are) responsible for the overall risk management of your firm and describe their individual functions", "Mr. Franklin is responsible for managing and developing GIA’s computer infrastructure and software environment, including programming for its proprietary attribution database system. In addition, he is responsible for data integrity, cybersecurity, and Disaster Recovery and Business Continuity Plans. He is assisted by Richard Fleischman & Associates (RFA). RFA is an IT support service provider that specializes in providing 24/7 desktop support and infrastructure monitoring for the asset management industry.", Core Plus, Pension, US, "compliance,team,biography,risk"
